ScenarioName	ObjectType	ObjectName	DataSource	StatisticCategory	StatisticType	DataItem	Average	Minimum	Maximum	HalfWidth	StandardDeviation
Scenario1	Source	Source1	Processing	Throughput	Total	NumberEntered	20	20	20	0	0
Scenario1	Source	Source1	Processing	Throughput	Total	NumberExited	20	20	20	0	0
Scenario1	Source	Source1	OutputBuffer	Throughput	Total	NumberEntered	20	20	20	0	0
Scenario1	Source	Source1	OutputBuffer	Throughput	Total	NumberExited	20	20	20	0	0
Scenario1	Sink	Sink1	[DestroyedEntities]	FlowTime	Observations	TimeInSystem	20	20	20	0	0
Scenario1	Sink	Sink1	[DestroyedEntities]	FlowTime	Minimum (Hours)	TimeInSystem	0.00309708457531287	0.00274165248707405	0.00344003092478129	0.000176910358477234	0.000247320810992457
Scenario1	Sink	Sink1	[DestroyedEntities]	FlowTime	Maximum (Hours)	TimeInSystem	0.00993939870722701	0.00805035140268571	0.0127951111891588	0.00119126794085752	0.00166539345563596
Scenario1	Sink	Sink1	[DestroyedEntities]	FlowTime	Average (Hours)	TimeInSystem	0.00533420892446602	0.00454320432823058	0.0067274379154234	0.00048469416339923	0.000677602796167722
Scenario1	Sink	Sink1	InputBuffer	Throughput	Total	NumberEntered	20	20	20	0	0
Scenario1	Sink	Sink1	InputBuffer	Throughput	Total	NumberExited	20	20	20	0	0
Scenario1	Server	Server1	[Resource]	Capacity	Average	UnitsUtilized	0.0374143836146258	0.0205194310137439	0.0520468094586277	0.00800549137651972	0.0111916828199111
Scenario1	Server	Server1	[Resource]	Capacity	Minimum	UnitsUtilized	0	0	0	0	0
Scenario1	Server	Server1	[Resource]	Capacity	Maximum	UnitsUtilized	1	1	1	0	0
Scenario1	Server	Server1	[Resource]	Capacity	Percent	ScheduledUtilization	3.74143836146258	2.05194310137439	5.20468094586277	0.800549137651972	1.11916828199111
Scenario1	Server	Server1	[Resource]	Capacity	Total	UnitsAllocated	11.3	7	15	2.21244723326908	3.09300285590988
Scenario1	Server	Server1	[Resource]	Capacity	Average	UnitsScheduled	1	1	1	0	0
Scenario1	Server	Server1	[Resource]	Capacity	Minimum	UnitsScheduled	1	1	1	0	0
Scenario1	Server	Server1	[Resource]	Capacity	Maximum	UnitsScheduled	1	1	1	0	0
Scenario1	Server	Server1	InputBuffer	Throughput	Total	NumberEntered	11.3	7	15	2.21244723326908	3.09300285590988
Scenario1	Server	Server1	InputBuffer	Throughput	Total	NumberExited	11.3	7	15	2.21244723326908	3.09300285590988
